96;25838.66349910400000
17;-40125.168653364200000
24;-88123.0136757116800000
94;80783.153107726800000
35;-70442.633510880400000
80;51459.386459205000000
90;-64583.110666920800000
47;25948.170236401000000
42;98279.935823021000000
81;-76556.779602067600000
40;-91288.2859846529000000
8;-8023.480870465800000
67;46069.369950738600000
39;-88916.3775102766800000
61;55099.828636217400000
70;-76891.909095593000000
60;-2239.885124795400000
82;9558.923195648400000
90;32013.719420993400000
58;1598.914644329200000
