55;914191.205108801000000;35;42
683;257005.467672594000000;40;81
514;155738.884622502000000;47;35
386;570634.021023874000000;17;60
110;282437.098712184000000;70;60
224;863216.599971691000000;61;35
653;987427.207062557000000;94;61
700;813276.146416406000000;67;67
681;685767.367924696000000;67;39
571;134294.175970937000000;24;90
39;160876.28167059000000;90;80
708;253230.847805041000000;58;61
413;841247.867693388000000;8;39
807;208846.99006553000000;8;82
169;1741.12411348704000000;90;47
28;895486.591189784000000;0;81
477;268451.428187182000000;60;58
442;653574.999636121000000;39;0
676;266426.459031193000000;40;47
438;218801.527430835000000;94;90
126;299694.487083112000000;8;90
300;82707.3043990068000000;80;8
792;363099.562973828000000;81;58
340;661185.579412315000000;61;40
897;563191.678816038000000;60;8
222;558393.470472124000000;80;82
914;1338.44872599009000000;94;47
412;224082.15455188000000;61;67
57;577242.599839187000000;81;8
169;514830.302913123000000;90;61
434;95105.3479357625000000;60;70
878;552069.801460693000000;60;58
771;51913.0250026972000000;40;58
959;847138.17669102000000;90;47
213;329899.773024086000000;0;39
570;33607.9947775312000000;90;40
619;296963.369659478000000;80;58
717;540449.188959106000000;8;67
680;832293.77196092000000;60;40
605;89115.1617831836000000;60;82
578;737215.960997201000000;58;58
789;528539.246936388000000;8;80
7;267385.727973197000000;70;90
541;447271.543251639000000;0;0
654;767186.370115395000000;17;0
809;867067.537289416000000;94;70
133;191254.045855236000000;81;0
487;509352.616512037000000;60;90
660;91122.7948741774000000;0;90
114;389723.100559447000000;35;35
614;62606.5740813521000000;0;61
193;178361.549122628000000;90;90
799;670792.965595442000000;17;90
405;709643.844567568000000;82;0
354;567279.337976302000000;60;0
679;416055.080021366000000;90;58
219;301121.144151894000000;67;17
506;438116.876168439000000;90;42
426;277869.01464229000000;0;0
353;59277.0104172748000000;81;0
416;772280.97483592000000;80;35
167;965127.978547772000000;17;40
716;110888.655942819000000;82;0
726;696279.736800499000000;0;70
420;42211.9641904707000000;61;70
69;250816.76173597000000;90;58
504;664434.884428543000000;0;17
319;647962.608390684000000;0;90
157;233773.564109525000000;0;0
907;221815.326300851000000;17;0
558;800968.65895939000000;80;24
183;212831.82357291000000;0;35
90;576534.602180011000000;0;0
234;855467.875184336000000;58;17
93;943550.001663985000000;70;82
731;262472.058884288000000;17;90
442;785412.923138407000000;90;40
421;127744.434662215000000;39;61
419;402490.253753469000000;35;0
175;823577.067957587000000;61;0
89;859113.759046304000000;61;70
867;572718.762448877000000;39;0
181;572531.87096355000000;60;70
745;293599.251211357000000;61;90
869;72098.6443487243000000;0;17
381;275664.494764814000000;0;58
204;138893.311637744000000;0;0
436;907802.769888714000000;70;80
700;304846.072573568000000;60;0
683;442072.856552981000000;0;60
566;63464.6742105869000000;61;58
527;201572.645006783000000;70;0
971;653983.127279105000000;0;0
804;73264.4415112102000000;70;40
681;141467.636766631000000;40;61
270;249903.570911351000000;60;70
97;768043.700068355000000;39;0
99;1920.24356476073000000;40;81
667;316417.465984084000000;17;0
847;188298.206712795000000;90;61
